,giraffe,carrot,bird,skateboard,person,toothbrush,diningtable,chair,suitcase,backpack,train,car,cup,bear,sandwich,handbag,donut,apple,bowl,bottle,sofa,dog,bench,truck,vase,pottedplant,motorbike,bicycle,broccoli,clock,traffic light,bus,bed,wine glass,aeroplane,pizza,cake,cell phone,remote,tvmonitor,laptop,microwave,umbrella,book,toilet,sports ball,tie,cat,banana,boat,teddy bear,surfboard,spoon,knife,horse,fork,sink,tennis racket,skis,mouse,kite,scissors,keyboard,fire hydrant,elephant,snowboard,cow,sheep,frisbee,orange,refrigerator,stop sign,oven,hot dog,baseball bat,baseball glove,parking meter,zebra
aeroplane,0,0,7,0,15,0,1,1,0,0,1,3,1,0,0,1,0,0,0,-1,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizza,0,1,-1,0,-3,0,0,-2,0,1,0,0,-2,0,0,0,0,0,1,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cake,0,1,0,0,-1,0,21,3,0,0,0,0,7,1,4,0,0,0,3,0,0,0,0,0,3,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,2,0,3,3,0,2,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
cell phone,0,0,0,0,-6,0,6,-3,0,0,0,3,4,0,0,3,0,0,1,0,1,0,0,0,0,0,-1,-1,0,0,0,0,2,1,0,0,0,0,-2,-2,-3,1,0,3,0,0,4,0,0,0,0,0,2,2,0,1,0,0,0,-3,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
remote,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-2,0,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tvmonitor,0,0,0,-1,15,0,3,2,-1,1,0,1,1,0,0,-1,0,0,1,-1,0,0,2,0,0,-1,0,-1,0,1,0,0,1,4,0,0,0,-2,-1,0,0,-1,0,-3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
laptop,0,0,0,0,13,0,5,1,0,0,0,0,3,0,0,-1,0,0,0,-1,1,3,-1,0,0,-1,0,0,0,0,0,0,1,-1,0,0,0,-3,-1,0,0,0,0,-4,0,0,-3,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microwave,0,0,0,0,-4,0,3,5,0,0,0,1,1,0,0,0,0,1,2,-1,0,0,0,0,2,5,0,0,0,1,0,0,0,1,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0
umbrella,0,0,1,0,8,0,0,3,0,2,0,9,0,0,0,2,0,0,0,-1,0,0,4,1,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0
book,0,0,0,0,-2,0,2,1,0,0,0,1,-1,0,0,1,0,0,-1,2,4,1,-2,1,1,4,0,0,0,-1,1,0,10,1,0,0,0,3,0,-3,-4,1,0,0,0,1,-3,1,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
