,giraffe,carrot,bird,skateboard,person,toothbrush,diningtable,chair,suitcase,backpack,train,car,cup,bear,sandwich,handbag,donut,apple,bowl,bottle,sofa,dog,bench,truck,vase,pottedplant,motorbike,bicycle,broccoli,clock,traffic light,bus,bed,wine glass,aeroplane,pizza,cake,cell phone,remote,tvmonitor,laptop,microwave,umbrella,book,toilet,sports ball,tie,cat,banana,boat,teddy bear,surfboard,spoon,knife,horse,fork,sink,tennis racket,skis,mouse,kite,scissors,keyboard,fire hydrant,elephant,snowboard,cow,sheep,frisbee,orange,refrigerator,stop sign,oven,hot dog,baseball bat,baseball glove,parking meter,zebra
bottle,0,0,2,0,129,0,39,42,0,6,0,2,54,0,0,3,0,0,22,0,5,1,3,0,7,9,0,5,0,1,0,0,1,18,1,2,6,8,1,9,11,3,3,8,1,1,11,1,3,1,1,0,3,4,0,2,3,0,0,2,0,0,4,1,0,0,0,0,0,2,3,0,2,0,0,0,0,0
sofa,0,0,0,0,43,0,5,21,0,1,0,0,7,0,0,1,0,0,3,5,0,12,2,0,4,6,0,0,0,1,0,0,12,3,0,0,0,3,2,2,1,2,0,10,0,0,0,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog,0,1,2,1,85,0,3,8,1,1,0,4,2,8,0,4,0,0,2,1,12,0,2,1,1,5,0,2,0,2,0,0,20,1,1,1,0,0,1,6,5,0,0,5,1,2,2,27,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,3,1,1,5,2,2,0,0,0,0,0,0,0,0,0
bench,0,0,0,1,55,0,5,14,1,1,1,8,1,0,0,7,0,0,0,3,2,2,0,2,0,2,0,5,0,1,0,1,1,0,0,0,0,0,0,2,1,0,4,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
truck,0,0,0,1,62,0,0,3,1,2,3,82,0,0,0,3,0,1,0,0,0,1,2,0,0,1,4,3,0,0,6,8,0,0,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0
vase,0,0,1,0,22,0,19,24,0,0,0,0,18,0,0,0,0,2,9,7,4,1,0,0,0,19,0,0,0,2,0,0,1,8,0,0,3,0,0,0,0,2,0,1,1,0,4,1,1,0,1,0,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
pottedplant,0,0,0,0,44,0,11,32,0,1,0,7,6,0,0,1,0,2,7,9,6,5,2,1,19,0,1,1,0,6,1,0,1,3,0,0,0,0,0,3,1,5,1,4,1,0,2,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0
motorbike,0,0,0,0,43,0,0,2,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bicycle,0,0,2,0,69,0,1,4,1,5,0,23,1,0,0,6,0,0,0,5,0,2,5,3,0,1,7,0,0,2,3,1,0,0,0,0,2,1,0,1,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
broccoli,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
